region_type,region,year,week,total_specimens,total_a,total_b,percent_positive,percent_a,percent_b,wk_date,a_2009_h1n1,a_h1,a_h3,a_subtyping_not_performed,a_unable_to_subtype,b,h3n2v,weighted_ili,unweighted_ili,age_0_4,age_25_49,age_25_64,age_5_24,age_50_64,age_65,ilitotal,num_of_providers,total_patients,week_start,season_week,season,regionnew,baseline,season_week_date,season_week_label,rili_minus,avg_rili_minus1,sd_rili_minus1,max_rili_minus,avg_rili_minus,sd_rili_minus,z_score,z_score_bin,rili_minus_is_max
HHS Regions,hhs1,2015,40,693,2,3,0.721501,0.2886,0.4329,10/4/2015,NA,NA,NA,NA,NA,NA,NA,0.743302,0.684364,103,50,NA,133,23,13,322,134,47051,10/4/2015,10,2015/2016,hhs1,1.3,9/29/2019,29-Sep,0.568,0.472661246,0.209120298,1.241111402,0.466160279,0.331205506,0.306411449,"(0,1]",FALSE
HHS Regions,hhs2,2015,40,1220,5,0,0.409836,0.409836,0,10/4/2015,NA,NA,NA,NA,NA,NA,NA,1.03278,1.22475,547,294,NA,528,123,95,1587,199,129577,10/4/2015,10,2015/2016,hhs2,2.3,9/29/2019,29-Sep,0.447,0.667678551,0.817579124,4.151656351,0.612362082,0.680951465,-0.242554153,"(-1,0]",FALSE
HHS Regions,hhs3,2015,40,896,0,1,0.111607,0,0.111607,10/4/2015,NA,NA,NA,NA,NA,NA,NA,1.2178,1.24313,401,419,NA,625,144,81,1670,280,134338,10/4/2015,10,2015/2016,hhs3,1.8,9/29/2019,29-Sep,0.676,0.550369277,0.219728376,1.147776915,0.553135953,0.37726545,0.325141141,"(0,1]",FALSE
HHS Regions,hhs4,2015,40,2486,24,16,1.60901,0.965406,0.643604,10/4/2015,NA,NA,NA,NA,NA,NA,NA,1.01464,1.15781,486,231,NA,613,99,75,1504,299,129900,10/4/2015,10,2015/2016,hhs4,1.6,9/29/2019,29-Sep,0.624,0.520949398,0.381464423,2.140537111,0.527810362,0.429699756,0.223728544,"(0,1]",FALSE
HHS Regions,hhs5,2015,40,2138,14,3,0.795136,0.654818,0.140318,10/4/2015,NA,NA,NA,NA,NA,NA,NA,1.04259,1.17723,384,238,NA,444,159,103,1328,284,112807,10/4/2015,10,2015/2016,hhs5,1.9,9/29/2019,29-Sep,0.544,0.554028851,0.291612843,1.566127268,0.540674946,0.367952893,0.010037891,"(0,1]",FALSE
HHS Regions,hhs6,2015,40,1773,8,16,1.35364,0.451213,0.902425,10/4/2015,NA,NA,NA,NA,NA,NA,NA,2.5431,2.0819,559,476,NA,698,199,100,2032,267,97603,10/4/2015,10,2015/2016,hhs6,3.6,9/29/2019,29-Sep,0.697,0.443184105,0.388374915,1.9700676,0.455242438,0.403253933,0.599155693,"(0,1]",FALSE
HHS Regions,hhs7,2015,40,621,2,1,0.483092,0.322061,0.161031,10/4/2015,NA,NA,NA,NA,NA,NA,NA,0.873934,0.957817,46,46,NA,77,15,14,198,77,20672,10/4/2015,10,2015/2016,hhs7,1.7,9/29/2019,29-Sep,0.512,0.485550214,0.336924398,1.812870872,0.486560444,0.569241522,0.043979409,"(0,1]",FALSE
HHS Regions,hhs8,2015,40,824,1,1,0.242718,0.121359,0.121359,10/4/2015,NA,NA,NA,NA,NA,NA,NA,0.655949,0.842218,81,71,NA,156,26,12,346,121,41082,10/4/2015,10,2015/2016,hhs8,1.4,9/29/2019,29-Sep,0.467,0.568471511,0.667751052,3.345876947,0.510768478,0.693791882,-0.062512546,"(-1,0]",FALSE
HHS Regions,hhs9,2015,40,981,25,2,2.75229,2.54842,0.203874,10/4/2015,NA,NA,NA,NA,NA,NA,NA,1.34537,1.23884,204,176,NA,398,78,126,982,225,79268,10/4/2015,10,2015/2016,hhs9,2.6,9/29/2019,29-Sep,0.503,0.570842593,0.274987642,1.459038044,0.537367415,0.321478848,-0.106256258,"(-1,0]",FALSE
HHS Regions,hhs10,2015,40,397,3,0,0.755668,0.755668,0,10/4/2015,NA,NA,NA,NA,NA,NA,NA,0.497072,0.500344,38,14,NA,21,5,2,80,77,15989,10/4/2015,10,2015/2016,hhs10,1.1,9/29/2019,29-Sep,0.448,0.531110172,0.52640955,2.496589474,0.554197243,0.589332546,-0.179403543,"(-1,0]",FALSE
