Data,lat,long,Total Cases at this Location,date_confirmation,days_since_start,Total Passengers,City,State,Population,normalized_rank,num_bins
Cases,48.04818,-121.696,1,1/20/2020,0,,,,,1,8
Cases,41.8781,-87.6298,1,1/24/2020,4,,,,,1,8
Cases,33.70329,-117.761,1,1/26/2020,6,,,,,1,8
Cases,34.05,-118.25,1,1/26/2020,6,,,,,1,8
Cases,33.41278,-111.943,1,1/26/2020,6,,,,,1,8
Cases,33.3520462,-112.489233,1,1/26/2020,6,,,,,1,8
Cases,41.8781,-87.6298,2,1/30/2020,10,,,,,1,8
Cases,37.23166,-121.693,1,2/1/2020,12,,,,,1,8
Cases,42.3601,-71.0589,1,2/1/2020,12,,,,,1,8
Cases,37.23166,-121.693,2,2/2/2020,13,,,,,1,8
Cases,36.6064,-121.074,2,2/2/2020,13,,,,,1,8
Cases,36.6064,-121.074,2,2/2/2020,13,,,,,1,8
Cases,43.08491,-89.5465,1,2/5/2020,16,,,,,1,8
Cases,38.27924603,-121.9292725,1,2/6/2020,17,,,,,1,8
Cases,33.03577,-116.732,1,2/11/2020,22,,,,,1,8
Cases,33.03577,-116.732,2,2/12/2020,23,,,,,1,8
Cases,40.70305,-123.873,1,2/20/2020,31,,,,,1,8
Cases,38.45354,-121.339,1,2/21/2020,32,,,,,1,8
Cases,29.425,-98.4939,2,2/21/2020,32,,,,,1,8
Cases,29.425,-98.4939,2,2/21/2020,32,,,,,1,8
Cases,45.5601,-123.099,1,2/28/2020,39,,,,,1,8
Cases,47.49133,-121.804,1,2/28/2020,39,,,,,1,8
Cases,48.04818,-121.696,2,2/28/2020,39,,,,,1,8
Cases,37.23166,-121.693,3,2/28/2020,39,,,,,1,8
Cases,41.84368402,-87.81673673,1,2/29/2020,40,,,,,1,8
Cases,47.49133,-121.804,3,2/29/2020,40,,,,,1,8
Cases,47.49133,-121.804,3,2/29/2020,40,,,,,1,8
Cases,37.23166,-121.693,4,2/29/2020,40,,,,,1,8
Cases,37.23166,-121.693,7,3/1/2020,41,,,,,1,8
Cases,37.23166,-121.693,7,3/1/2020,41,,,,,1,8
Cases,37.23166,-121.693,7,3/1/2020,41,,,,,1,8
Cases,47.7,-122.19,5,3/1/2020,41,,,,,1,8
Cases,45.5601,-123.099,2,3/1/2020,41,,,,,1,8
Cases,47.486667,-122.195278,1,3/1/2020,41,,,,,1,8
Cases,47.49133,-121.804,7,3/1/2020,41,,,,,1,8
Cases,47.7,-122.19,5,3/1/2020,41,,,,,1,8
Cases,47.7,-122.19,5,3/1/2020,41,,,,,1,8
Cases,47.7,-122.19,5,3/1/2020,41,,,,,1,8
Cases,47.7,-122.19,5,3/1/2020,41,,,,,1,8
Cases,47.60972,-122.333,2,3/1/2020,41,,,,,1,8
Cases,47.60972,-122.333,2,3/1/2020,41,,,,,1,8
Cases,41.87556,-71.3761,2,3/1/2020,41,,,,,1,8
Cases,41.87556,-71.3761,2,3/1/2020,41,,,,,1,8
Cases,47.49133,-121.804,7,3/1/2020,41,,,,,1,8
Cases,47.49133,-121.804,7,3/1/2020,41,,,,,1,8
Cases,47.49133,-121.804,7,3/1/2020,41,,,,,1,8
Cases,37.64681081,-121.8872713,1,3/1/2020,41,,,,,1,8
Cases,38.27924603,-121.9292725,2,3/1/2020,41,,,,,1,8
Cases,40.661,-73.944,1,3/2/2020,42,,,,,1,8
Cases,45.59429,-118.739,1,3/2/2020,42,,,,,1,8
Cases,39.06467181,-120.7156477,1,3/2/2020,42,,,,,1,8
Cases,47.60972,-122.333,3,3/2/2020,42,,,,,1,8
Cases,27.96806,-82.4764,2,3/2/2020,42,,,,,1,8
Cases,27.96806,-82.4764,2,3/2/2020,42,,,,,1,8
Cases,41.84368402,-87.81673673,2,3/2/2020,42,,,,,1,8
Cases,43.94185668,-71.82009048,1,3/2/2020,42,,,,,1,8
Cases,47.49133,-121.804,10,3/2/2020,42,,,,,1,8
Cases,47.49133,-121.804,10,3/2/2020,42,,,,,1,8
Cases,47.49133,-121.804,10,3/2/2020,42,,,,,1,8
Cases,48.04818,-121.696,3,3/2/2020,42,,,,,1,8
Cases,37.23166,-121.693,8,3/2/2020,42,,,,,1,8
Cases,37.42222232,-122.3302662,1,3/2/2020,42,,,,,1,8
Cases,38.52944732,-122.888016,1,3/2/2020,42,,,,,1,8
Cases,35.7905,-78.652,1,3/3/2020,43,,,,,1,8
Cases,47.60972,-122.333,9,3/3/2020,43,,,,,1,8
Cases,47.60972,-122.333,9,3/3/2020,43,,,,,1,8
Cases,47.60972,-122.333,9,3/3/2020,43,,,,,1,8
Cases,47.60972,-122.333,9,3/3/2020,43,,,,,1,8
Cases,42.16118,-71.2101,1,3/3/2020,43,,,,,1,8
Cases,40.96031581,-74.07497372,1,3/3/2020,43,,,,,1,8
Cases,27.47160807,-82.30022041,1,3/3/2020,43,,,,,1,8
Cases,33.79076629,-84.46678675,2,3/3/2020,43,,,,,1,8
Cases,33.79076629,-84.46678675,2,3/3/2020,43,,,,,1,8
Cases,33.3520462,-112.489233,3,3/3/2020,43,,,,,1,8
Cases,37.87167,-122.273,1,3/3/2020,43,,,,,1,8
Cases,33.70329,-117.761,3,3/3/2020,43,,,,,1,8
Cases,33.70329,-117.761,3,3/3/2020,43,,,,,1,8
Cases,37.91727452,-121.9256384,1,3/3/2020,43,,,,,1,8
Cases,34.05,-118.25,2,3/3/2020,43,,,,,1,8
Cases,43.94185668,-71.82009048,2,3/3/2020,43,,,,,1,8
Cases,47.49133,-121.804,14,3/3/2020,43,,,,,1,8
Cases,47.49133,-121.804,14,3/3/2020,43,,,,,1,8
Cases,47.60972,-122.333,9,3/3/2020,43,,,,,1,8
Cases,47.49133,-121.804,14,3/3/2020,43,,,,,1,8
Cases,47.49133,-121.804,14,3/3/2020,43,,,,,1,8
Cases,47.60972,-122.333,9,3/3/2020,43,,,,,1,8
Cases,37.23166,-121.693,10,3/3/2020,43,,,,,1,8
Cases,37.23166,-121.693,10,3/3/2020,43,,,,,1,8
Cases,39.06467181,-120.7156477,2,3/3/2020,43,,,,,1,8
Cases,33.3520462,-112.489233,3,3/3/2020,43,,,,,1,8
Cases,37.23166,-121.693,13,3/4/2020,44,,,,,1,8
Cases,37.23166,-121.693,13,3/4/2020,44,,,,,1,8
Cases,37.23166,-121.693,13,3/4/2020,44,,,,,1,8
Cases,29.53,-95.77,1,3/4/2020,44,,,,,1,8
Cases,40.90861,-73.7819,5,3/4/2020,44,,,,,1,8
Cases,40.90861,-73.7819,5,3/4/2020,44,,,,,1,8
Cases,40.90861,-73.7819,5,3/4/2020,44,,,,,1,8
Cases,40.90861,-73.7819,5,3/4/2020,44,,,,,1,8
Cases,40.90861,-73.7819,5,3/4/2020,44,,,,,1,8
Cases,34.05,-118.25,7,3/4/2020,44,,,,,1,8
Cases,34.05,-118.25,7,3/4/2020,44,,,,,1,8
Cases,34.05,-118.25,7,3/4/2020,44,,,,,1,8
Cases,34.05,-118.25,7,3/4/2020,44,,,,,1,8
Cases,37.35444,-121.969,3,3/4/2020,44,,,,,1,8
Cases,37.35444,-121.969,3,3/4/2020,44,,,,,1,8
Cases,37.35444,-121.969,3,3/4/2020,44,,,,,1,8
Cases,40.851,-73.971,1,3/4/2020,44,,,,,1,8
Cases,47.49133,-121.804,24,3/4/2020,44,,,,,1,8
Cases,47.49133,-121.804,24,3/4/2020,44,,,,,1,8
Cases,47.49133,-121.804,24,3/4/2020,44,,,,,1,8
Cases,47.20918621,-119.450231,1,3/4/2020,44,,,,,1,8
Cases,47.49133,-121.804,24,3/4/2020,44,,,,,1,8
Cases,47.49133,-121.804,24,3/4/2020,44,,,,,1,8
Cases,47.49133,-121.804,24,3/4/2020,44,,,,,1,8
Cases,47.49133,-121.804,24,3/4/2020,44,,,,,1,8
Cases,47.49133,-121.804,24,3/4/2020,44,,,,,1,8
Cases,48.04818,-121.696,5,3/4/2020,44,,,,,1,8
Cases,48.04818,-121.696,5,3/4/2020,44,,,,,1,8
Cases,47.49133,-121.804,24,3/4/2020,44,,,,,1,8
Cases,47.49133,-121.804,24,3/4/2020,44,,,,,1,8
Cases,34.05,-118.25,7,3/4/2020,44,,,,,1,8
Cases,39.13748574,-77.20252273,3,3/5/2020,45,,,,,1,8
Cases,39.13748574,-77.20252273,3,3/5/2020,45,,,,,1,8
Cases,39.13748574,-77.20252273,3,3/5/2020,45,,,,,1,8
Cases,42,-70.75,1,3/5/2020,45,,,,,1,8
Cases,42.48609196,-71.39239708,1,3/5/2020,45,,,,,1,8
Cases,41.8781,-87.6298,3,3/5/2020,45,,,,,1,8
Cases,37.7775,-122.416,2,3/5/2020,45,,,,,1,8
Cases,37.7775,-122.416,2,3/5/2020,45,,,,,1,8
Cases,32.715,-117.163,1,3/5/2020,45,,,,,1,8
Cases,34.05,-118.25,11,3/5/2020,45,,,,,1,8
Cases,34.05,-118.25,11,3/5/2020,45,,,,,1,8
Cases,34.05,-118.25,11,3/5/2020,45,,,,,1,8
Cases,34.05,-118.25,11,3/5/2020,45,,,,,1,8
Cases,37.23166,-121.693,19,3/5/2020,45,,,,,1,8
Cases,37.23166,-121.693,19,3/5/2020,45,,,,,1,8
